file	adv	stop	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20230101_14	100221	200223.0	138.0	0.3	2.4	2.1	20.9	-3.8	18.0	4.0	0	1	0	0	0	0
20230101_14	100271	200272.0	151.0	0.2	15.3	14.9	16.5	-3.2	15.0	3.6	0	1	0	0	0	0
20230101_14	100313	200314.0	151.0	0.3	33.4	32.8	24.2	-1.1	24.0	3.9	1	0	0	0	0	0
20230101_14	100380	200381.0	151.0	0.3	7.4	7.1	33.9	-1.1	26.0	3.5	1	0	0	0	0	0
20230101_14	100587	200588.0	136.0	0.8	15.9	15.0	41.4	-4.3	10.0	4.7	0	0	0	0	0	0
20230101_14	100760	200762.0	136.0	0.4	15.7	15.3	119.9	3.2	11.0	7.8	0	0	0	0	1	0
20230101_14	100798	200799.0	118.0	0.3	23.1	22.7	6.4	-5.6	13.0	5.0	0	1	0	0	0	0
20230101_14	100800	200803.0	118.0	0.3	6.4	6.1	2.3	0.8	20.0	6.0	0	1	0	0	1	0
20230101_14	100837	200838.0	118.0	0.4	37.4	36.4	34.0	-0.9	20.0	7.2	1	0	0	0	0	0
20230101_14	100914	200915.0	118.0	0.3	10.0	9.6	22.9	0.7	11.0	6.8	0	1	0	0	1	0
20230101_14	100948	200949.0	118.0	1.0	43.9	43.1	10.0	2.5	14.0	7.2	0	0	0	0	1	0
20230101_15	100061	200063.0	150.0	0.4	8.2	7.2	37.7	-5.8	19.0	5.0	0	1	0	0	0	0
20230101_15	100126	200127.0	150.0	0.4	26.9	25.5	18.1	-2.6	30.0	3.3	0	0	0	0	0	0
20230101_15	100197	200198.0	150.0	0.3	22.2	21.7	26.2	1.2	13.0	6.9	0	1	0	0	1	0
20230101_15	100315	200317.0	134.0	0.4	10.6	10.2	50.0	-1.3	16.0	4.5	0	1	0	0	0	0
20230101_15	100316	200318.0	134.0	0.6	14.7	14.2	66.4	1.1	18.0	5.6	0	0	0	0	1	0
20230101_15	100345	200350.0	134.0	0.4	45.3	44.7	15.2	-4.2	18.0	4.7	0	1	0	0	0	0
20230101_15	100468	200471.0	134.0	0.3	1.7	1.5	69.0	-5.4	24.0	4.9	0	1	0	0	0	0
20230101_15	100493	200494.0	134.0	0.4	67.7	67.1	42.2	-4.2	12.0	4.7	1	0	0	0	0	0
20230101_15	100571	200573.0	115.0	0.5	114.5	113.9	27.6	-4.9	6.0	4.4	0	0	0	0	0	0
20230101_15	100574	200575.0	115.0	0.5	10.3	10.0	46.9	3.0	11.0	9.0	0	1	0	0	1	0
20230101_15	100617	200618.0	115.0	0.3	28.4	27.8	24.6	3.2	20.0	7.3	1	0	0	0	1	0
20230101_15	100651	200652.0	115.0	0.3	41.2	40.4	37.9	-5.0	20.0	4.2	0	1	0	0	0	0
20230101_15	100696	200697.0	115.0	0.4	12.5	12.0	52.4	-2.5	24.0	5.0	0	1	0	0	0	0
20230101_15	100747	200748.0	135.0	0.4	6.6	6.2	58.5	-3.4	8.0	4.9	0	1	0	0	0	0
20230101_15	100785	200787.0	135.0	0.4	18.6	18.3	26.2	-3.6	22.0	4.9	1	0	0	0	0	0
20230101_15	100786	200788.0	135.0	0.3	18.0	17.7	23.0	-2.7	22.0	5.2	0	1	0	0	0	0
20230101_15	100907	200908.0	135.0	0.4	39.8	39.2	13.7	1.8	21.0	8.6	0	1	0	0	1	0
20230101_16	100064	200065.0	117.0	0.3	32.0	31.8	66.3	0.3	13.0	5.4	1	0	0	0	1	0
20230101_16	100170	200172.0	117.0	0.4	23.2	22.8	65.3	-1.8	20.0	4.7	0	1	0	0	0	0
20230101_16	100171	200173.0	117.0	0.3	20.6	20.3	69.4	2.9	13.0	6.9	1	0	0	0	1	0
20230101_16	100258	200259.0	133.0	0.3	45.2	44.7	16.3	0.7	20.0	3.8	1	0	0	0	1	0
20230101_16	100381	200382.0	133.0	0.4	44.6	43.9	29.2	-2.3	13.0	5.1	0	1	0	0	0	0
20230101_16	100543	200545.0	104.0	0.3	71.5	71.1	26.9	-5.0	10.0	5.0	1	0	0	0	0	0
20230101_16	100718	200719.0	148.0	0.3	20.2	19.7	20.1	0.7	26.0	7.4	1	0	0	0	1	0
20230101_16	100800	200801.0	148.0	0.3	27.1	26.7	28.6	-0.2	21.0	3.3	1	0	1	0	0	0
20230101_16	100828	200829.0	148.0	0.3	15.5	15.1	27.7	-5.2	15.0	4.6	0	1	0	0	0	0
20230101_17	100053	200054.0	123.0	0.9	7.4	7.0	18.5	-2.8	18.0	4.7	0	0	0	0	0	0
20230101_17	100118	200119.0	123.0	0.4	48.0	47.4	17.5	-3.0	12.0	4.1	0	1	0	0	0	0
20230101_17	100190	200191.0	123.0	0.4	9.3	9.1	73.4	-1.5	16.0	4.8	0	1	0	0	0	0
20230101_17	100257	200259.0	108.0	0.2	25.7	25.2	49.2	-3.6	16.0	3.3	0	1	0	0	0	0
20230101_17	100258	200260.0	108.0	0.3	5.6	5.3	48.0	-3.6	16.0	3.8	1	0	0	0	0	0
20230101_17	100276	200277.0	108.0	0.3	28.8	28.3	36.6	-4.3	9.0	4.3	1	0	0	0	0	0
20230101_17	100408	200409.0	108.0	0.2	7.3	7.0	17.5	-1.7	12.0	3.2	1	0	0	0	0	0
20230101_17	100518	200519.0	117.0	0.3	10.2	9.9	49.1	-4.3	15.0	4.0	0	1	0	0	0	0
20230101_17	100548	200549.0	117.0	0.5	42.3	41.8	26.6	-0.2	16.0	6.2	0	1	1	0	0	0
20230101_17	100562	200564.0	117.0	0.4	69.4	68.9	14.5	-0.6	11.0	5.2	0	1	0	0	0	0
20230101_17	100596	200598.0	117.0	0.4	5.9	5.3	34.8	-4.0	20.0	4.6	0	1	0	0	0	0
20230101_17	100658	200659.0	126.0	0.4	38.3	37.8	19.2	-1.9	6.0	8.2	0	1	0	0	0	0
20230101_17	100720	200721.0	126.0	0.3	21.9	21.6	15.9	-3.5	21.0	4.1	1	0	0	0	0	0
20230101_18	100086	200087.0	126.0	0.4	23.5	23.0	6.0	-3.0	13.0	4.0	0	0	0	0	0	0
20230101_18	100119	200121.0	126.0	0.4	3.3	3.0	33.7	-4.6	18.0	5.3	0	1	0	0	0	0
20230101_18	100122	200123.0	126.0	0.4	8.8	8.5	26.8	0.9	21.0	7.4	1	0	0	0	1	0
20230101_18	100242	200245.0	123.0	0.3	7.9	7.6	2.6	-5.0	18.0	4.3	1	0	0	0	0	0
20230101_18	100243	200248.0	123.0	0.4	2.6	2.3	126.1	-2.4	18.0	7.1	1	0	0	0	0	0
20230101_18	100244	200247.0	123.0	0.3	17.0	16.6	3.5	-2.3	18.0	5.1	0	1	0	0	0	0
20230101_18	100246	200249.0	123.0	0.4	3.5	3.2	35.3	1.2	6.0	9.1	0	1	0	0	1	0
20230101_18	100305	200306.0	123.0	0.4	9.6	9.3	48.3	-3.5	14.0	4.9	1	0	0	0	0	0
20230101_18	100378	200379.0	123.0	0.6	21.9	20.1	14.9	2.2	8.0	7.9	0	0	0	0	1	0
20230101_18	100392	200393.0	123.0	0.4	73.3	72.8	18.7	-5.1	8.0	5.1	1	0	0	0	0	0
20230101_18	100413	200414.0	123.0	0.3	23.7	23.4	53.7	-0.1	10.0	7.9	0	0	1	0	0	0
20230101_18	100514	200516.0	120.0	0.4	9.5	9.1	34.1	0.5	14.0	6.8	1	0	0	0	1	0
20230101_18	100555	200556.0	120.0	0.4	47.7	47.1	20.8	-4.6	12.0	4.6	0	1	0	0	0	0
20230101_18	100597	200598.0	120.0	0.3	25.5	25.2	41.7	3.0	24.0	6.6	0	0	0	0	1	0
20230101_18	100637	200638.0	120.0	0.5	30.3	29.7	38.2	-2.6	24.0	5.6	1	0	0	0	0	0
20230101_18	100665	200667.0	120.0	0.3	32.0	31.6	50.2	-1.1	15.0	3.8	0	1	0	0	0	0
20230101_18	100664	200668.0	120.0	0.4	12.9	12.5	1.4	-1.1	15.0	4.4	1	0	0	0	0	0
20230101_18	100666	200669.0	120.0	0.4	1.4	1.0	17.4	0.3	10.0	6.2	1	0	0	0	1	1
20230101_18	100847	200848.0	128.0	0.4	49.0	48.7	25.5	-2.8	10.0	4.9	1	0	0	0	0	0
20230101_19	100037	200038.0	123.0	0.3	41.4	40.8	47.5	1.1	14.0	6.2	0	1	0	0	1	0
20230101_19	100243	200245.0	90.0	0.3	33.9	33.6	17.7	-3.3	11.0	4.5	0	1	0	0	0	0
20230101_19	100273	200275.0	90.0	0.3	4.3	4.0	7.9	-1.9	8.0	3.4	0	1	0	0	0	0
20230101_19	100274	200276.0	90.0	0.3	56.9	56.5	4.9	-0.6	8.0	3.6	1	0	0	0	0	0
20230101_19	100337	200338.0	90.0	0.4	17.3	16.9	38.8	2.1	13.0	7.1	0	1	0	0	1	0
20230101_19	100425	200426.0	136.0	0.4	20.7	20.3	38.6	3.5	11.0	6.7	1	0	0	1	0	0
20230101_19	100648	200650.0	94.0	0.4	56.6	56.2	14.0	0.2	8.0	8.4	0	1	0	0	1	0
20230101_19	100662	200664.0	94.0	0.4	55.9	55.5	25.0	1.3	14.0	6.6	1	0	0	0	1	0
20230101_19	100684	200685.0	94.0	0.2	11.3	10.9	29.7	2.7	14.0	6.9	1	0	0	0	1	0
20230101_20	100091	200092.0	89.0	0.4	24.3	23.9	45.7	1.0	13.0	7.7	1	0	0	0	1	0
20230101_20	100138	200140.0	89.0	0.3	27.2	26.7	3.8	-0.3	16.0	4.3	0	1	0	0	0	0
20230101_20	100139	200141.0	89.0	0.4	3.8	3.5	43.4	3.5	13.0	7.4	0	1	0	1	0	0
20230101_20	100190	200194.0	104.0	0.3	55.2	54.6	4.4	-2.7	17.0	4.2	0	1	0	0	0	0
20230101_20	100195	200197.0	104.0	0.3	4.4	4.1	23.8	1.7	10.0	7.6	0	1	0	0	1	0
20230101_20	100210	200211.0	104.0	0.2	52.4	52.0	13.0	-0.8	10.0	3.3	0	0	0	0	0	0
20230101_20	100320	200322.0	104.0	0.2	8.9	8.6	6.8	-2.8	18.0	3.3	1	0	0	0	0	0
20230101_20	100392	200393.0	105.0	0.3	21.5	21.2	180.9	1.0	8.0	6.0	0	0	0	0	1	0
