file	adv	stop	match	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20221206_0945_1200	102285	202290.0	1.0	262.0	0.3	4.3	4.0	45.3	3.6	36.0	7.3	0	1	0	1	0	0
20221206_0945_1200	102336	202350.0	0.0	262.0	0.3	1.7	1.4	3.4	-5.6	36.0	7.9	0	1	0	0	0	0
20221206_0945_1200	102336	202346.0	1.0	262.0	0.3	1.7	1.4	3.4	-5.6	36.0	4.7	0	1	0	0	0	0
20221206_0945_1200	102336	202353.0	0.0	262.0	0.3	1.7	1.4	3.4	-5.6	36.0	9.7	0	1	0	0	0	0
20221206_0945_1200	102337	202347.0	1.0	262.0	0.3	1.6	1.2	1.6	-5.3	36.0	4.6	0	0	0	0	0	0
20221206_0945_1200	102337	202349.0	0.0	262.0	0.3	1.6	1.2	1.6	-5.3	36.0	6.2	0	0	0	0	0	0
20221206_0945_1200	102340	202349.0	1.0	262.0	0.5	1.6	1.3	7.7	-3.7	36.0	4.6	0	0	0	0	0	0
20221206_0945_1200	102340	202347.0	0.0	262.0	0.5	1.6	1.3	7.7	-3.7	36.0	3.0	0	0	0	0	0	0
20221206_0945_1200	102344	202353.0	0.0	262.0	0.4	3.4	3.1	2.0	-2.2	36.0	6.3	0	1	0	0	0	0
20221206_0945_1200	102344	202350.0	1.0	262.0	0.4	3.4	3.1	2.0	-2.2	36.0	4.5	0	1	0	0	0	0
20221206_0945_1200	102345	202351.0	1.0	262.0	0.4	6.3	5.6	18.5	-1.8	36.0	4.7	1	0	0	0	0	0
20221206_0945_1200	102348	202350.0	0.0	262.0	0.3	2.0	1.6	21.2	-0.2	36.0	2.5	0	1	1	0	0	0
20221206_0945_1200	102348	202353.0	1.0	262.0	0.3	2.0	1.6	21.2	-0.2	36.0	4.3	0	1	1	0	0	0
20221206_0945_1200	102376	202378.0	1.0	262.0	0.3	5.2	4.9	9.1	-3.7	16.0	3.8	0	1	0	0	0	0
20221206_0945_1200	102379	202381.0	1.0	262.0	0.3	8.1	7.8	4.7	0.1	25.0	5.3	0	0	0	0	1	0
20221206_0945_1200	102419	202422.0	1.0	262.0	0.2	25.1	24.5	2.7	-3.8	25.0	4.1	0	0	0	0	0	0
20221206_0945_1200	102419	202424.0	0.0	262.0	0.2	25.1	24.5	2.7	-3.8	25.0	6.8	0	0	0	0	0	0
20221206_0945_1200	102420	202423.0	1.0	262.0	0.2	21.5	10.8	6.2	-2.7	25.0	4.0	0	1	0	0	0	0
20221206_0945_1200	102421	202424.0	1.0	262.0	0.3	2.7	2.5	16.7	-1.1	25.0	4.1	0	0	0	0	0	0
20221206_0945_1200	102425	202427.0	1.0	262.0	0.4	6.2	6.0	9.5	3.5	28.0	7.4	0	1	0	1	0	0
20221206_0945_1200	102468	202471.0	1.0	262.0	0.3	11.4	9.4	6.7	-2.3	28.0	4.1	0	1	0	0	0	0
20221206_0945_1200	102469	202473.0	1.0	262.0	0.4	7.2	6.9	4.9	-2.2	28.0	4.5	1	0	0	0	0	0
20221206_0945_1200	102470	202478.0	1.0	262.0	0.3	6.8	6.6	1.5	0.6	44.0	6.7	0	0	0	0	1	0
20221206_0945_1200	102472	202478.0	0.0	262.0	0.3	1.5	1.2	3.3	2.1	44.0	5.2	0	0	0	0	1	0
20221206_0945_1200	102474	202483.0	1.0	262.0	0.6	4.9	4.5	2.2	2.7	44.0	8.2	1	0	0	0	1	0
20221206_0945_1200	102604	202607.0	1.0	238.0	0.7	4.2	3.5	19.4	-4.3	40.0	8.0	0	1	0	0	0	0
20221206_0945_1200	102606	202608.0	1.0	238.0	0.3	8.3	7.9	46.6	0.6	38.0	4.8	0	0	0	0	1	0
20221206_0945_1200	102675	202676.0	1.0	238.0	0.3	11.2	10.9	33.2	-0.9	38.0	4.4	1	0	0	0	0	0
20221206_0945_1200	102715	202716.0	1.0	238.0	0.3	10.8	10.5	25.8	0.5	20.0	6.2	0	0	0	0	1	0
20221206_0945_1200	102746	202747.0	0.0	238.0	0.4	24.0	23.1	11.4	-0.6	20.0	3.1	0	1	0	0	0	0
20221206_0945_1200	102813	202815.0	1.0	238.0	0.2	9.1	8.6	38.7	-2.7	39.0	4.0	1	0	0	0	0	0
20221206_0945_1200	102864	202867.0	1.0	238.0	0.4	18.4	17.9	12.8	2.8	35.0	6.8	0	1	0	0	1	0
20221206_0945_1200	102865	202866.0	1.0	238.0	0.4	20.2	18.7	20.9	3.1	35.0	6.2	0	0	0	0	1	0
20221206_0945_1200	102962	202963.0	1.0	238.0	0.4	19.2	18.3	26.6	0.5	26.0	7.3	0	1	0	0	1	0
20221206_0945_1200	103005	203010.0	0.0	238.0	0.4	4.4	3.9	1.9	-5.8	26.0	7.8	0	1	0	0	0	0
20221206_0945_1200	103005	203009.0	1.0	238.0	0.4	4.4	3.9	1.9	-5.8	26.0	5.4	0	1	0	0	0	0
20221206_0945_1200	103007	203010.0	1.0	238.0	0.4	1.9	1.5	46.4	-3.9	26.0	5.9	0	1	0	0	0	0
20221206_0945_1200	103007	203009.0	0.0	238.0	0.4	1.9	1.5	46.4	-3.9	26.0	3.5	0	1	0	0	0	0
20221206_0945_1200	103105	203107.0	1.0	247.0	0.3	7.3	6.6	26.0	-1.7	37.0	4.2	0	1	0	0	0	0
20221206_0945_1200	103202	203209.0	1.0	247.0	0.5	4.6	4.3	5.0	-5.3	42.0	6.2	1	0	0	0	0	0
20221206_0945_1200	103202	203215.0	0.0	247.0	0.5	4.6	4.3	5.0	-5.3	42.0	11.7	1	0	0	0	0	0
20221206_0945_1200	103204	203211.0	1.0	247.0	0.6	3.5	2.7	7.5	-4.3	42.0	6.6	0	1	0	0	0	0
20221206_0945_1200	103204	203207.0	0.0	247.0	0.6	3.5	2.7	7.5	-4.3	42.0	3.2	0	1	0	0	0	0
20221206_0945_1200	103206	203214.0	0.0	247.0	0.5	8.1	7.4	5.9	-3.0	42.0	6.2	0	0	0	0	0	0
20221206_0945_1200	103208	203215.0	1.0	247.0	0.4	5.0	4.5	2.5	-0.3	42.0	6.7	1	0	1	0	0	0
20221206_0945_1200	103210	203215.0	0.0	247.0	0.4	2.5	2.1	11.5	2.2	21.0	4.2	1	0	0	0	1	0
20221206_0945_1200	103245	203251.0	0.0	247.0	0.3	17.5	17.3	5.0	-1.2	21.0	12.3	0	1	0	0	0	0
20221206_0945_1200	103245	203247.0	1.0	247.0	0.3	17.5	17.3	5.0	-1.2	21.0	4.2	0	1	0	0	0	0
20221206_0945_1200	103246	203249.0	1.0	247.0	0.3	30.9	30.5	35.9	-0.2	21.0	5.2	1	0	1	0	0	0
20221206_0945_1200	103334	203341.0	1.0	247.0	0.4	15.9	15.5	3.9	-4.6	35.0	4.6	1	0	0	0	0	0
20221206_0945_1200	103336	203340.0	1.0	247.0	0.3	5.7	5.3	3.4	-3.8	35.0	3.8	0	1	0	0	0	0
20221206_0945_1200	103386	203389.0	1.0	247.0	0.4	23.8	23.0	10.1	-4.4	28.0	4.5	0	0	0	0	0	0
20230327_0700_1400	100099	200100.0	1.0	146.0	0.3	54.6	54.1	62.7	0.0	15.0	3.8	1	0	0	0	1	0
20230327_0700_1400	100129	200131.0	1.0	146.0	0.3	40.0	39.7	4.8	1.9	29.0	5.1	1	0	0	0	1	0
20230327_0700_1400	100184	200188.0	1.0	146.0	0.4	12.4	12.2	63.2	0.0	16.0	5.7	0	1	0	0	1	0
20230327_0700_1400	100185	200187.0	1.0	146.0	0.3	14.9	14.5	64.6	1.3	16.0	3.5	1	0	0	0	1	0
20230327_0700_1400	100214	200216.0	1.0	146.0	0.4	10.3	10.0	7.3	1.7	31.0	7.6	1	0	0	0	1	0
20230327_0700_1400	100264	200266.0	1.0	146.0	0.4	1.7	1.3	22.0	-5.1	31.0	4.4	0	1	0	0	0	0
20230327_0700_1400	100298	200299.0	1.0	185.0	0.2	39.4	38.9	40.6	0.7	28.0	5.1	1	0	0	0	1	0
20230327_0700_1400	100345	200346.0	1.0	185.0	0.3	49.5	48.7	7.4	-1.9	28.0	3.6	0	1	0	0	0	0
20230327_0700_1400	100427	200428.0	1.0	185.0	0.4	20.6	20.1	7.6	1.5	22.0	6.9	0	1	0	0	1	0
20230327_0700_1400	100737	200741.0	0.0	247.0	0.9	13.8	13.3	1.6	-5.9	43.0	6.2	0	0	0	0	0	0
20230327_0700_1400	100738	200741.0	1.0	247.0	0.5	1.6	0.7	55.1	-4.3	43.0	4.6	0	0	0	0	0	1
20230327_0700_1400	100964	200965.0	1.0	247.0	0.5	23.4	22.7	5.2	-2.2	39.0	4.9	0	1	0	0	0	0
20230327_0700_1400	100964	200968.0	0.0	247.0	0.5	23.4	22.7	5.2	-2.2	39.0	11.1	0	1	0	0	0	0
20230327_0700_1400	100966	200968.0	1.0	247.0	0.3	5.2	4.7	58.4	3.0	45.0	5.9	0	1	0	0	1	0
20230327_0700_1400	101049	201050.0	1.0	247.0	0.4	25.2	25.0	14.9	-1.6	45.0	4.6	1	0	0	0	0	0
20230327_0700_1400	101112	201114.0	1.0	227.0	0.6	6.1	5.6	1.4	-3.8	34.0	5.0	0	0	0	0	0	0
20230327_0700_1400	101112	201115.0	0.0	227.0	0.6	6.1	5.6	1.4	-3.8	34.0	6.3	0	0	0	0	0	0
20230327_0700_1400	101113	201114.0	0.0	227.0	0.6	1.4	0.8	9.5	-2.4	34.0	3.6	0	0	0	0	0	1
20230327_0700_1400	101113	201115.0	1.0	227.0	0.6	1.4	0.8	9.5	-2.4	34.0	4.9	0	0	0	0	0	1
20230327_0700_1400	101252	201257.0	0.0	227.0	0.3	2.2	1.8	5.8	-5.7	39.0	10.9	0	1	0	0	0	0
20230327_0700_1400	101256	201257.0	1.0	227.0	0.3	5.8	5.5	69.9	0.1	23.0	5.1	0	1	0	0	1	0
