file	adv	stop	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20230327_1415_1900	100775	200781.0	293.0	0.3	1.3	0.9	6.2	-1.7	41.0	4.7	1	0	0	0	0	1
20230327_1415_1900	100777	200786.0	293.0	0.7	3.8	3.3	4.3	0.5	59.0	6.1	0	0	0	0	1	0
20230327_1415_1900	100778	200790.0	293.0	0.4	9.8	9.1	4.4	1.1	59.0	7.1	0	1	0	0	1	0
20230327_1415_1900	100890	200892.0	293.0	0.8	19.7	19.0	4.6	-2.0	59.0	4.4	0	0	0	0	0	0
20230327_1415_1900	100891	200894.0	293.0	0.2	13.0	12.4	42.0	0.2	38.0	5.2	0	1	0	0	1	0
20230327_1415_1900	101040	201046.0	281.0	0.4	3.6	3.2	7.0	-4.5	49.0	3.9	0	0	0	0	0	0
20230327_1415_1900	101041	201047.0	281.0	0.3	2.2	2.0	1.8	-4.2	49.0	3.7	0	1	0	0	0	0
20230327_1415_1900	101045	201048.0	281.0	0.3	1.8	1.5	7.0	-2.4	49.0	3.8	0	1	0	0	0	0
20230327_1415_1900	101049	201052.0	281.0	0.4	7.0	6.6	47.4	2.5	55.0	7.3	0	0	0	0	1	0
20230327_1415_1900	101140	201149.0	281.0	0.2	1.8	1.6	1.5	-4.7	55.0	4.0	0	1	0	0	0	0
20230327_1415_1900	101145	201153.0	281.0	0.4	1.5	1.3	3.3	-3.2	55.0	4.6	0	1	0	0	0	0
20230327_1415_1900	101148	201156.0	281.0	0.4	6.2	5.9	2.5	-1.4	55.0	4.6	1	0	0	0	0	0
20230327_1415_1900	101150	201157.0	281.0	0.2	3.3	2.9	24.4	0.1	46.0	5.5	0	1	0	0	1	0
20230327_1415_1900	101151	201161.0	281.0	0.4	2.5	2.1	1.6	1.1	46.0	5.9	1	0	0	0	1	0
20230327_1415_1900	101155	201163.0	281.0	0.4	1.6	1.2	3.7	2.7	46.0	6.2	1	0	0	0	1	0
20230327_1415_1900	101315	201318.0	281.0	0.1	10.8	10.5	10.5	0.0	45.0	6.1	0	1	1	0	0	0
20230327_1415_1900	101316	201319.0	281.0	0.3	11.7	11.3	2.7	0.1	48.0	6.5	1	0	0	0	1	0
20230327_1415_1900	101388	201398.0	281.0	0.3	1.8	1.4	1.2	-5.1	48.0	4.5	0	1	0	0	0	0
20230327_1415_1900	101390	201400.0	281.0	0.3	1.2	0.9	1.9	-3.9	48.0	4.5	0	1	0	0	0	1
20230327_1415_1900	101392	201403.0	281.0	0.5	7.4	7.1	2.6	-3.7	48.0	5.3	1	0	0	0	0	0
20230327_1415_1900	101393	201401.0	281.0	0.3	2.0	1.7	3.5	-3.5	48.0	4.2	0	0	0	0	0	0
20230327_1415_1900	101395	201405.0	281.0	0.5	1.9	1.6	5.7	-2.0	48.0	5.3	0	1	0	0	0	0
20230327_1415_1900	101397	201406.0	281.0	0.4	2.6	2.1	2.5	-1.1	48.0	4.7	1	0	0	0	0	0
20230327_1415_1900	101399	201409.0	281.0	0.2	3.5	3.2	4.1	0.0	44.0	4.5	0	0	0	0	1	0
20230327_1415_1900	101402	201411.0	281.0	0.4	2.5	2.1	1.8	1.4	44.0	7.0	1	0	0	0	1	0
20230327_1415_1900	101475	201486.0	281.0	0.4	2.2	1.9	2.7	-4.6	44.0	4.8	1	0	0	0	0	0
20230327_1415_1900	101479	201488.0	281.0	0.4	2.4	2.0	2.3	-3.7	44.0	5.2	0	1	0	0	0	0
20230327_1415_1900	101481	201493.0	281.0	0.3	2.7	2.3	3.4	-1.9	44.0	5.4	1	0	0	0	0	0
20230327_1415_1900	101482	201492.0	281.0	0.4	6.3	6.0	3.0	-1.8	44.0	5.1	0	0	0	0	0	0
20230327_1415_1900	101484	201491.0	281.0	0.4	2.3	1.9	7.3	-1.4	44.0	4.7	0	1	0	0	0	0
20230327_1415_1900	101590	201591.0	350.0	0.2	35.4	35.0	11.2	1.0	56.0	4.8	1	0	0	0	1	0
20230327_1415_1900	101687	201688.0	350.0	0.4	11.8	11.1	33.2	-4.5	56.0	4.4	0	0	0	0	0	0
