file	adv	stop	volume_adv_15	Lane_adv	AIY_adv	TUY_adv	SCA_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	HeadwayLead_adv	GapLead_adv	arrival_time_adv	volume_adv_cycle_adv	AIY_stop	TUY_stop	SCA_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	HeadwayLead_stop	GapLead_stop	arrival_time_stop	volume_adv_cycle_stop	travel_time
20230101_09	100148	200149.0	53.0	R	43.9	5.3	GG	0.3	72.2	71.8	26.8	26.5	-5.3	3.0	48.6	0.6	GY	0.9	71.5	70.5	26.7	25.8	-0.6	3.0	4.7
20230101_09	100173	200174.0	53.0	R	1.6	114.5	YY	0.3	47.0	46.4	20.2	19.9	1.6	4.0	7.9	108.2	RG	80.8	38.1	36.0	81.6	0.8	7.9	4.0	6.3
20230101_09	100185	200186.0	74.0	R	3.2	96.8	YR	0.4	67.2	66.5	38.2	37.8	3.2	8.0	10.0	90.0	RG	66.3	42.0	39.9	69.1	2.8	10.0	8.0	6.8
20230101_09	100270	200271.0	74.0	R	98.7	1.3	GG	0.4	12.7	12.4	62.4	62.0	-1.3	9.0	4.0	101.0	RR	1.0	14.4	13.7	17.2	16.2	4.0	13.0	5.3
20230101_09	100320	200321.0	74.0	M	98.5	1.5	GG	0.3	15.6	15.3	73.6	73.3	-1.5	15.0	3.9	91.1	RG	63.3	16.6	15.8	72.6	9.3	3.9	7.0	5.4
20230101_09	100402	200404.0	85.0	R	54.4	2.7	GG	0.3	37.8	37.5	1.8	1.5	-2.7	4.0	1.1	115.0	YY	0.8	37.8	37.0	1.7	0.9	1.1	10.0	3.8
20230101_09	100403	200405.0	85.0	R	56.2	0.9	GG	0.2	1.8	1.5	5.8	5.6	-0.9	4.0	2.8	113.3	YR	0.8	1.7	0.9	8.1	7.3	2.8	10.0	3.7
20230101_10	100281	200283.0	83.0	R	92.7	2.3	GG	0.4	79.7	79.2	3.7	3.3	-2.3	6.0	2.6	97.4	YR	1.0	74.8	40.7	7.9	6.9	2.6	6.0	4.9
20230101_10	100282	200284.0	83.0	R	1.4	98.6	YY	0.4	3.7	3.3	51.8	51.4	1.4	6.0	10.5	89.5	RG	63.6	7.9	6.9	118.6	55.0	10.5	6.0	9.1
20230101_10	100293	200294.0	83.0	M	0.4	99.6	YY	0.3	113.2	113.0	12.4	12.1	0.4	13.0	4.7	95.3	RR	0.7	44.1	28.3	15.7	15.0	4.7	13.0	4.3
20230101_10	100483	200484.0	89.0	L	98.3	1.7	GG	0.4	43.9	43.1	30.9	30.5	-1.7	17.0	2.4	97.6	YY	0.8	24.1	21.8	34.1	33.3	2.4	12.0	4.1
20230101_10	100526	200527.0	89.0	L	95.8	4.2	GG	0.5	81.2	80.8	20.4	19.9	-4.2	14.0	99.6	0.4	GY	0.7	35.0	33.0	71.9	71.2	-0.4	14.0	3.8
20230101_11	100050	200052.0	87.0	R	90.3	4.7	GG	0.4	42.1	41.7	61.4	61.0	-4.7	7.0	0.4	99.6	YY	1.0	32.2	30.3	63.4	62.4	0.4	6.0	5.1
20230101_11	100192	200193.0	90.0	L	97.9	2.1	GG	0.5	41.9	41.4	23.2	22.7	-2.1	11.0	1.9	98.1	YY	0.8	38.3	27.3	27.2	26.4	1.9	18.0	4.0
20230101_11	100229	200230.0	90.0	L	100.0	0.0	GY	0.7	135.3	135.1	49.0	48.3	0.0	7.0	4.0	96.0	RR	0.8	174.9	128.4	51.9	51.1	4.0	13.0	4.0
20230101_11	100321	200322.0	96.0	L	97.6	0.4	GY	0.6	61.9	61.1	17.2	16.6	-0.4	6.0	3.6	93.4	YR	0.8	56.0	43.3	21.7	20.9	3.6	17.0	4.0
20230101_11	100352	200353.0	96.0	L	92.2	4.8	GG	0.8	31.7	31.4	46.4	45.6	-4.8	17.0	96.6	0.4	GY	0.8	27.8	25.6	68.2	67.4	-0.4	17.0	4.4
20230101_11	100436	200440.0	96.0	L	144.9	2.6	GG	0.4	6.1	5.8	32.1	31.7	-2.6	20.0	1.2	57.9	YY	0.7	84.0	81.7	96.0	95.3	1.2	10.0	3.8
20230101_11	100519	200523.0	111.0	L	107.1	4.0	GG	0.4	49.0	48.0	2.5	2.1	-4.0	16.0	0.6	122.3	YY	0.8	32.2	29.8	2.3	1.5	0.6	13.0	4.6
20230101_11	100521	200524.0	111.0	L	109.6	1.5	GG	0.4	2.5	2.1	87.0	86.6	-1.5	16.0	2.9	120.0	YR	0.8	2.3	1.5	86.2	85.4	2.9	13.0	4.4
20230101_11	100567	200568.0	111.0	R	113.3	3.7	GG	0.3	4.0	3.8	8.7	8.4	-3.7	11.0	0.4	110.7	YY	0.8	4.9	4.1	11.5	10.7	0.4	10.0	4.1
20230101_11	100639	200641.0	111.0	R	99.5	0.5	GG	0.3	23.2	23.0	25.0	24.7	-0.5	13.0	3.5	96.5	YR	0.8	23.5	22.8	31.8	31.0	3.5	11.0	4.0
20230101_11	100640	200642.0	111.0	M	0.9	99.1	YY	0.3	24.0	23.7	34.6	34.3	0.9	11.0	4.4	95.6	RR	0.7	23.6	22.9	39.6	38.9	4.4	11.0	3.5
20230101_11	100659	200661.0	111.0	R	0.8	104.2	YY	0.3	12.1	11.8	17.6	17.3	0.8	21.0	5.9	99.1	RG	68.6	13.3	12.5	69.2	0.6	5.9	21.0	5.1
20230101_11	100660	200662.0	111.0	L	2.5	102.5	YY	0.5	57.7	57.2	13.5	13.0	2.5	21.0	10.0	95.0	RG	61.6	81.2	34.3	62.6	1.0	10.0	21.0	7.5
20230101_12	100022	200023.0	105.0	M	95.4	4.6	GG	0.5	40.4	40.0	26.1	25.6	-4.6	15.0	1.6	98.4	YY	1.2	22.5	20.6	27.2	26.0	1.6	8.0	6.2
20230101_12	100075	200077.0	105.0	M	97.7	2.3	GG	0.4	31.7	31.0	18.0	17.6	-2.3	14.0	2.1	102.9	YY	0.9	19.1	17.6	20.5	19.6	2.1	19.0	4.4
20230101_12	100184	200185.0	105.0	R	97.7	2.3	GG	0.4	20.5	20.0	52.4	52.0	-2.3	16.0	1.9	103.1	YY	0.9	19.8	18.9	33.9	33.0	1.9	5.0	4.2
20230101_12	100210	200212.0	121.0	M	95.4	4.6	GG	0.3	72.8	72.3	24.7	24.4	-4.6	12.0	99.8	0.2	GY	0.8	67.6	29.1	26.6	25.8	-0.2	12.0	4.4
20230101_12	100211	200213.0	121.0	R	99.0	1.0	GG	0.3	19.0	18.5	19.4	19.1	-1.0	12.0	3.0	93.1	YR	0.8	16.4	15.1	21.9	21.1	3.0	7.0	4.0
20230101_12	100312	200313.0	121.0	L	94.6	5.4	GG	0.4	20.1	19.7	34.1	33.7	-5.4	15.0	99.3	0.7	GY	0.8	20.1	19.1	36.9	36.1	-0.7	15.0	4.7
20230101_12	100326	200328.0	121.0	R	96.5	3.5	GG	0.4	18.3	17.9	21.5	21.1	-3.5	9.0	1.4	98.6	YY	1.0	18.2	17.2	24.7	23.7	1.4	12.0	4.9
20230101_12	100327	200329.0	121.0	L	98.9	1.1	GG	1.0	19.7	19.0	18.4	17.4	-1.1	9.0	4.1	95.9	RG	69.8	19.4	18.5	71.6	1.8	4.1	12.0	5.2
20230101_12	100486	200489.0	123.0	L	113.7	3.3	GG	0.4	4.6	4.1	8.5	8.1	-3.3	20.0	0.9	116.1	YY	0.8	89.0	33.4	46.7	45.9	0.9	11.0	4.2
20230101_12	100488	200492.0	123.0	M	115.9	1.1	GG	0.3	7.0	6.7	2.7	2.4	-1.1	20.0	3.0	114.0	YR	0.8	7.5	6.8	5.3	4.5	3.0	11.0	4.1
20230101_12	100490	200495.0	123.0	R	1.2	115.8	YY	0.4	14.1	13.8	55.0	54.6	1.2	11.0	8.8	108.2	RG	79.1	18.2	17.5	79.9	0.8	8.8	11.0	7.6
20230101_12	100491	200494.0	123.0	M	1.6	115.4	YY	0.3	2.7	2.4	35.0	34.7	1.6	11.0	8.3	108.7	RG	77.6	5.3	4.5	78.3	0.7	8.3	11.0	6.7
20230101_12	100752	200754.0	126.0	M	99.5	0.5	GG	0.4	18.5	18.1	20.2	19.8	-0.5	12.0	6.1	93.9	RG	69.6	17.7	16.2	70.5	0.9	6.1	9.0	6.6
20230101_12	100767	200768.0	126.0	L	94.2	5.8	GG	0.6	27.6	27.1	24.1	23.5	-5.8	9.0	0.4	181.7	YY	1.2	67.5	25.6	26.0	24.8	0.4	30.0	6.2
20230101_14	100054	200056.0	138.0	R	94.5	5.5	GG	0.4	43.7	43.2	30.2	29.8	-5.5	17.0	99.4	0.6	GY	0.9	18.7	16.6	32.1	31.2	-0.6	17.0	4.9
20230101_14	100055	200057.0	138.0	M	96.7	3.3	GG	0.3	30.0	29.3	26.0	25.7	-3.3	17.0	0.6	104.4	YY	0.7	15.9	14.5	30.2	29.5	0.6	11.0	3.9
20230101_14	100221	200223.0	138.0	R	101.2	3.8	GG	0.3	2.4	2.1	20.9	20.6	-3.8	18.0	0.2	94.8	YY	0.8	1.9	1.0	23.3	22.5	0.2	13.0	4.0
20230101_14	100271	200272.0	151.0	R	96.8	3.2	GG	0.2	15.3	14.9	16.5	16.3	-3.2	15.0	0.4	99.6	YY	0.7	12.6	11.4	20.4	19.7	0.4	24.0	3.6
20230101_14	100313	200314.0	151.0	M	98.9	1.1	GG	0.3	33.4	32.8	24.2	23.9	-1.1	24.0	2.8	102.2	YY	0.8	27.6	26.2	29.8	29.0	2.8	14.0	3.9
20230101_14	100380	200381.0	151.0	M	93.9	1.1	GG	0.3	7.4	7.1	33.9	33.6	-1.1	26.0	2.4	97.6	YY	0.7	7.1	6.4	37.6	36.9	2.4	13.0	3.5
20230101_14	100587	200588.0	136.0	L	95.7	4.3	GG	0.8	15.9	15.0	41.4	40.6	-4.3	10.0	0.4	99.6	YY	0.8	26.4	25.7	148.2	147.4	0.4	7.0	4.7
20230101_14	100760	200762.0	136.0	L	3.2	96.8	YY	0.4	15.7	15.3	119.9	119.5	3.2	11.0	11.0	89.0	RG	60.7	18.8	18.0	119.0	58.3	11.0	11.0	7.8
20230101_14	100798	200799.0	118.0	R	94.4	5.6	GG	0.3	23.1	22.7	6.4	6.1	-5.6	13.0	99.4	0.6	GY	1.0	22.9	22.0	7.4	6.4	-0.6	13.0	5.0
20230101_14	100800	200803.0	118.0	R	0.8	99.2	YY	0.3	6.4	6.1	2.3	2.0	0.8	20.0	6.8	93.2	RG	67.1	7.4	6.4	67.6	0.5	6.8	20.0	6.0
20230101_14	100837	200838.0	118.0	M	99.1	0.9	GG	0.4	37.4	36.4	34.0	33.6	-0.9	20.0	6.3	93.7	RG	71.1	19.4	17.9	143.2	72.1	6.3	14.0	7.2
